-26.36	14.46	46.32
-.43	-58.18	54.35
-56.28	-28.5	30.19
54.88	-25.38	33.12
68.43	-33.29	-15.44
-1.03	38.82	14.99
1	39.92	1.49
-37.43	-3.81	-10.01
43.85	-15.84	-7.7
-22.51	6.77	-12.18
29.87	2.94	-11.35
-.48	-56.58	47.52
50.33	-6.31	4.81
-54.55	-15.17	-17.78
54.81	-43.67	16.81
-.62	-51.43	31.48
5.16	36.55	-15
-41.54	-13.21	6.44
-2.63	-11.69	63.86
-28.49	13.39	46.44
10.28	-40.34	63.88
57.02	-26.42	33.18
-54.42	-40.2	-11.22
61.3	-53.86	22.05
-9.76	41.29	-7.42
5.36	36.4	10.66
-41.7	19.23	-.74
43.73	18	-10.54
26.91	-93.44	-18.84
-11.64	-39.6	-7.3
-2.66	-21.81	56.9
-13.3	-34.65	56.98
-2.82	-47.73	24.5
5.18	34.52	-13.71
-20.32	7.38	-4.45
-21.43	-33.72	-26.64
