-56.12	-66.4	35.6
-46.45	-72.43	39.34
49.59	-57.82	26.98
45.49	-74.79	41.83
61.41	-64.81	31.89
-25.35	24.87	43.21
-20.38	57.31	8.09
-36.03	18.29	41.65
-20.01	34.76	46.78
-29.01	52	-4.75
29.81	52.87	1.19
24.83	29.14	38.93
20.21	59.5	5.21
43.11	16.1	47.62
19.12	49.37	-1.74
36.73	25.21	55.85
-30.1	10.01	-24.64
-11.85	37.3	-3.71
-7.6	22.81	-12.58
36.17	44.65	-9.34
-5.9	-54.12	38.46
11.11	-58.22	25.22
6.9	-43.3	39.63
-30.85	-40.52	-3.66
-34.46	14.59	-33.89
-21.07	-21.23	24.72
-22.1	-38.41	22.83
-10.23	-67.86	26.28
