"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary"
"1";56;"L_V1_ROI";2;-0,000278185342661511;-11,9477;-64,0341;-4,15323;"L";1,012483162778;-0,00162860434016176;0
"2";57;"L_V1_ROI";1;-0,00027464299034363;-12,0708;-64,0617;-4,92879;"L";1,0122844656068;-0,00847675050325262;0
"3";58;"L_V1_ROI";1;-0,000272016324698074;-12,1863;-64,0593;-5,70137;"L";1,01218593232475;-0,0079274735302116;0
"4";59;"L_V1_ROI";2;-0,000269070566607521;-12,3044;-64,0313;-6,47309;"L";1,01206754521709;-0,00564696322747749;0
"5";60;"L_V1_ROI";2;-0,000263990854042736;-12,4357;-63,9827;-7,24553;"L";1,01204450756933;-0,00533749725895866;0
"6";61;"L_V1_ROI";1;-0,000259107446610941;-12,5908;-63,9186;-8,01942;"L";1,01192678692179;-0,00894436678269783;0
"7";62;"L_V1_ROI";1;-0,000253764347726831;-12,7796;-63,8439;-8,79447;"L";1,01190639748805;-0,014383907853755;0
"8";63;"L_V1_ROI";1;-0,000247963661937305;-13,0105;-63,7627;-9,56938;"L";1,01185637614839;-0,0111299259779423;0
"9";64;"L_V1_ROI";2;-0,000241395575117063;-13,2899;-63,6774;-10,342;"L";1,01182963032917;0,00245682625092189;1
"10";65;"L_V1_ROI";2;-0,000234082355532791;-13,6224;-63,5889;-11,1097;"L";1,01182126655423;-0,00060331920755682;0
"11";396;"L_V1_ROI";1;-0,000226562541241561;-12,0793;-62,669;-5,59241;"L";1,01174789204335;-0,00865898120212759;0
"12";414;"L_V1_ROI";2;-0,000218177006439235;-12,2331;-62,6575;-6,37783;"L";1,01170316877647;-0,00821093034710941;0
"13";415;"L_V1_ROI";2;-0,000210395421352607;-12,3026;-61,2539;-7,04875;"L";1,01168598807016;-0,00503748508603829;0
"14";432;"L_V1_ROI";2;-0,000202220173739928;-12,3929;-62,6239;-7,16247;"L";1,01165957466146;-0,00461507142315208;0
"15";433;"L_V1_ROI";2;-0,000193141621716978;-12,5062;-61,2169;-7,84749;"L";1,01162783950941;-0,00358999442960795;0
"16";434;"L_V1_ROI";2;-0,000183264810313739;-12,6489;-59,8171;-8,52821;"L";1,01161213398384;-0,0042339489967796;0
"17";449;"L_V1_ROI";1;-0,00017275067488164;-12,5686;-62,5727;-7,94722;"L";1,01159539356296;-0,00705514218602002;0
"18";450;"L_V1_ROI";1;-0,000160447735240347;-12,7277;-61,1648;-8,6455;"L";1,01153714107577;-0,00656465944283149;0
"19";451;"L_V1_ROI";2;-0,000148471857727368;-12,917;-59,7651;-9,34019;"L";1,01153453303915;-0,00544868977176816;0
"20";465;"L_V1_ROI";1;-0,000136103559757754;-12,7699;-62,5086;-8,73212;"L";1,01149371122565;-0,00981140203238915;0
"21";466;"L_V1_ROI";1;-0,000124553382663014;-12,9759;-61,1016;-9,44224;"L";1,01147757629492;-0,00892410051711598;0
"22";467;"L_V1_ROI";2;-0,000112735929156385;-13,212;-59,7028;-10,1494;"L";1,01147173895209;-0,00564522611415683;0
"23";468;"L_V1_ROI";2;-9,9736659257905e-05;-13,4812;-58,3165;-10,8539;"L";1,01144454914826;-0,00659635403907415;0
"24";480;"L_V1_ROI";1;-8,50958266412912e-05;-13,0054;-62,4358;-9,51632;"L";1,01141275395675;-0,0111349453036914;0
"25";481;"L_V1_ROI";1;-7,03614039880836e-05;-13,2582;-61,0305;-10,2364;"L";1,01139364466973;-0,00775956381487319;0
"26";482;"L_V1_ROI";2;-5,53922314874726e-05;-13,5406;-59,6328;-10,9543;"L";1,01135295629755;-0,00163625375415079;0
"27";494;"L_V1_ROI";2;-3,91095062060625e-05;-13,2824;-62,3571;-10,2981;"L";1,01133391539157;-0,00414019024612181;0
"28";495;"L_V1_ROI";2;-2,35640812230319e-05;-13,5809;-60,9535;-11,0261;"L";1,01132518970792;0,00532032382172827;1
"29";507;"L_V1_ROI";2;-7,47807969613402e-06;-13,6064;-62,2741;-11,0753;"L";1,01130224219033;0,00680831919229831;1
"30";21354;"L_V1_ROI";1;9,15026241915508e-06;-14,7476;-99,1779;4,78781;"L";1,01129398574194;-0,00049902150213181;0
"31";21355;"L_V1_ROI";1;2,62407317929403e-05;-14,4964;-98,865;3,77737;"L";1,01128071609053;-0,00406075775102007;0
"32";21356;"L_V1_ROI";1;4,33583321051414e-05;-14,2675;-98,5209;2,77961;"L";1,01126255252392;-0,00934037334306113;0
